Restaurant|Adrress|Opening_Hours|Contact|Total_Star|Person|Star|Date|Review|Thumb|tokens|tokens_v2|entities|token_pos|top_key_freq|summary|sentiment
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|蓁| 5 顆星 |2 週前|雖然環境感覺有些髒亂，但鴨肉飯非常好吃👍，湯也很好喝，人很多太晚去會吃不到|0|['雖然', '環境', '感覺', '有些', '髒亂', '，', '但', '鴨肉飯', '非常', '好吃', '👍', '，', '湯', '也', '很', '好喝', '，', '人', '很多', '太晚', '去', '會', '吃', '不', '到']|['環境', '感覺', '鴨肉飯']|set()|[('雖然', 'Cbb'), ('環境', 'Na'), ('感覺', 'Na'), ('有些', 'Dfa'), ('髒亂', 'VH'), ('，', 'COMMACATEGORY'), ('但', 'Cbb'), ('鴨肉飯', 'Na'), ('非常', 'Dfa'), ('好吃', 'VH'), ('👍', 'FW'), ('，', 'COMMACATEGORY'), ('湯', 'Na'), ('也', 'D'), ('很', 'Dfa'), ('好喝', 'VH'), ('，', 'COMMACATEGORY'), ('人', 'Na'), ('很多', 'Neqa'), ('太晚', 'VH'), ('去', 'D'), ('會', 'D'), ('吃', 'VC'), ('不', 'D'), ('到', 'VC')]|[('環境', 1), ('感覺', 1), ('鴨肉飯', 1)]|['雖然環境感覺有些髒亂', '但鴨肉飯非常好吃👍', '湯也很好喝', '人很多太晚去會吃不到']|0.0
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Ting Ting| 5 顆星 |3 週前|鴨肉一小盤才50，肉質水滷不柴，飯內有汁很香，鴨肉東粉很妙，湯看起來濁但喝起來有莫名的清爽感！鴨血也不錯，人均100元吃飽又沒有雷，高雄人真幸福😘|0|['鴨肉', '一', '小', '盤', '才', '50', '，', '肉質', '水滷', '不', '柴', '，', '飯', '內', '有', '汁', '很', '香', '，', '鴨肉', '東粉', '很', '妙', '，', '湯', '看起來', '濁', '但', '喝起來', '有', '莫名', '的', '清爽感', '！', '鴨血', '也', '不錯', '，', '人', '均', '100', '元', '吃飽', '又', '沒有', '雷', '，', '高雄人', '真', '幸', '福😘']|['鴨肉', '肉質', '水滷', '鴨肉', '東粉', '清爽感', '鴨血', '高雄人']|{(66, 69, 'NORP', '高雄人'), (55, 59, 'MONEY', '100元'), (6, 8, 'CARDINAL', '50')}|[('鴨肉', 'Na'), ('一', 'Neu'), ('小', 'VH'), ('盤', 'Nf'), ('才', 'Da'), ('50', 'Neu'), ('，', 'COMMACATEGORY'), ('肉質', 'Na'), ('水滷', 'Na'), ('不', 'D'), ('柴', 'Na'), ('，', 'COMMACATEGORY'), ('飯', 'Na'), ('內', 'Ncd'), ('有', 'V_2'), ('汁', 'Na'), ('很', 'Dfa'), ('香', 'VH'), ('，', 'COMMACATEGORY'), ('鴨肉', 'Na'), ('東粉', 'Na'), ('很', 'Dfa'), ('妙', 'VH'), ('，', 'COMMACATEGORY'), ('湯', 'Na'), ('看起來', 'D'), ('濁', 'VH'), ('但', 'Cbb'), ('喝起來', 'D'), ('有', 'V_2'), ('莫名', 'A'), ('的', 'DE'), ('清爽感', 'Na'), ('！', 'EXCLAMATIONCATEGORY'), ('鴨血', 'Na'), ('也', 'D'), ('不錯', 'VH'), ('，', 'COMMACATEGORY'), ('人', 'Na'), ('均', 'D'), ('100', 'Neu'), ('元', 'Nf'), ('吃飽', 'VH'), ('又', 'Caa'), ('沒有', 'VJ'), ('雷', 'Na'), ('，', 'COMMACATEGORY'), ('高雄人', 'Na'), ('真', 'D'), ('幸', 'D'), ('福😘', 'VH')]|[('鴨肉', 2), ('肉質', 1), ('水滷', 1), ('東粉', 1), ('清爽感', 1), ('鴨血', 1), ('高雄人', 1)]|['鴨血也不錯', '鴨肉一小盤才50', '肉質水滷不柴', '飯內有汁很香', '鴨肉東粉很妙']|0.05
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|小Q| 3 顆星 |3 週前|很夯的名店 但我不懂他的好吃點 飯不錯但在高雄似乎有太多差不多的 而湯和鴨肉也普通！！值得一提的.....算便宜！！注意這是名店 所以很容易排隊|0|['很', '夯', '的', '名', '店', ' ', '但', '我', '不', '懂', '他', '的', '好吃', '點', ' ', '飯', '不錯', '但', '在', '高雄', '似乎', '有', '太多', '差不多', '的', ' ', '而', '湯', '和', '鴨肉', '也', '普通', '！', '！', '值得', '一', '提', '的', '.', '.', '.', '.', '.', '算', '便宜', '！', '！', '注意', '這', '是', '名', '店', ' ', '所以', '很', '容易', '排隊']|['高雄', '鴨肉', '排隊']|{(21, 23, 'GPE', '高雄')}|[('很', 'Dfa'), ('夯', 'VH'), ('的', 'DE'), ('名', 'A'), ('店', 'Nc'), (' ', 'WHITESPACE'), ('但', 'Cbb'), ('我', 'Nh'), ('不', 'D'), ('懂', 'VK'), ('他', 'Nh'), ('的', 'DE'), ('好吃', 'VH'), ('點', 'Dfb'), (' ', 'WHITESPACE'), ('飯', 'Na'), ('不錯', 'VH'), ('但', 'Cbb'), ('在', 'P'), ('高雄', 'Nc'), ('似乎', 'D'), ('有', 'V_2'), ('太多', 'Neqa'), ('差不多', 'VH'), ('的', 'DE'), (' ', 'WHITESPACE'), ('而', 'Cbb'), ('湯', 'Na'), ('和', 'Caa'), ('鴨肉', 'Na'), ('也', 'D'), ('普通', 'VH'), ('！', 'EXCLAMATIONCATEGORY'), ('！', 'EXCLAMATIONCATEGORY'), ('值得', 'VH'), ('一', 'D'), ('提', 'VE'), ('的', 'DE'), ('.', 'PERIODCATEGORY'), ('.', 'PERIODCATEGORY'), ('.', 'PERIODCATEGORY'), ('.', 'PERIODCATEGORY'), ('.', 'PERIODCATEGORY'), ('算', 'VG'), ('便宜', 'VH'), ('！', 'EXCLAMATIONCATEGORY'), ('！', 'EXCLAMATIONCATEGORY'), ('注意', 'VK'), ('這', 'Nep'), ('是', 'SHI'), ('名', 'A'), ('店', 'Nc'), (' ', 'WHITESPACE'), ('所以', 'Cbb'), ('很', 'Dfa'), ('容易', 'VH'), ('排隊', 'VA')]|[('高雄', 1), ('鴨肉', 1), ('排隊', 1)]|['很夯的名店 但我不懂他的好吃點 飯不錯但在高雄似乎有太多差不多的 而湯和鴨肉也普通', '注意這是名店 所以很容易排隊', '值得一提的.....算便宜']|0.9
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|陳佑昇| 5 顆星 |3 週前|優|0|['優']|[]|set()|[('優', 'VH')]|[]|['優']|0.67
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Ching-yao Huang| 5 顆星 |3 週前|煙燻鴨肉|0|['煙燻', '鴨肉']|['鴨肉']|set()|[('煙燻', 'A'), ('鴨肉', 'Na')]|[('鴨肉', 1)]|['煙燻鴨肉']|0.57
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|蓮| 5 顆星 |3 週前|"(由 Google 提供翻譯) 好吃到不行

(原始評論)
好吃到不行"|0|['(', '由', ' Google ', '提供', '翻譯', ')', ' ', '好吃', '到', '不行', '\n\n', '(', '原始', '評論', ')', '\n', '好吃', '到', '不行']|['翻譯', '評論']|set()|[('(', 'PARENTHESISCATEGORY'), ('由', 'P'), (' Google ', 'FW'), ('提供', 'VD'), ('翻譯', 'Na'), (')', 'PARENTHESISCATEGORY'), (' ', 'WHITESPACE'), ('好吃', 'VH'), ('到', 'P'), ('不行', 'VH'), ('\n\n', 'WHITESPACE'), ('(', 'PARENTHESISCATEGORY'), ('原始', 'VH'), ('評論', 'Na'), (')', 'PARENTHESISCATEGORY'), ('\n', 'WHITESPACE'), ('好吃', 'VH'), ('到', 'P'), ('不行', 'VH')]|[('翻譯', 1), ('評論', 1)]|['(由 Google 提供翻譯) 好吃到不行', '好吃到不行', '(原始評論)']|0.0
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|chienan chen| 4 顆星 |3 週前|鴨肉調味有特色，價格平易近人|0|['鴨肉', '調味', '有', '特色', '，', '價格', '平易近人']|['鴨肉', '調味', '特色', '價格']|set()|[('鴨肉', 'Na'), ('調味', 'VA'), ('有', 'V_2'), ('特色', 'Na'), ('，', 'COMMACATEGORY'), ('價格', 'Na'), ('平易近人', 'VH')]|[('鴨肉', 1), ('調味', 1), ('特色', 1), ('價格', 1)]|['鴨肉調味有特色', '價格平易近人']|0.93
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Chinchih Zheng| 3 顆星 |3 週前|東西不錯吃但等的時間有點久|0|['東西', '不錯', '吃', '但', '等', '的', '時間', '有點', '久']|['東西', '時間']|set()|[('東西', 'Na'), ('不錯', 'VH'), ('吃', 'VC'), ('但', 'Cbb'), ('等', 'VC'), ('的', 'DE'), ('時間', 'Na'), ('有點', 'Dfa'), ('久', 'VH')]|[('東西', 1), ('時間', 1)]|['東西不錯吃但等的時間有點久']|0.52
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|李vicky| 5 顆星 |3 週前|口味佳，價格親民|0|['口味', '佳', '，', '價格', '親民']|['口味', '價格']|set()|[('口味', 'Na'), ('佳', 'VH'), ('，', 'COMMACATEGORY'), ('價格', 'Na'), ('親民', 'VH')]|[('口味', 1), ('價格', 1)]|['口味佳', '價格親民']|0.81
七賢鴨肉飯專賣店|801高雄市前金區七賢二路220號|星期日    10:00–18:00   星期一    10:00–18:00   星期二    10:00–18:00   星期三    10:00–18:00   星期四    10:00–18:00   星期五    10:00–18:00   星期六    10:00–18:00|72874562|4.3|Yi-Feng Hong| 5 顆星 |4 週前|好吃的鴨肉飯～|0|['好吃', '的', '鴨肉飯', '～']|['鴨肉飯']|set()|[('好吃', 'VH'), ('的', 'DE'), ('鴨肉飯', 'Na'), ('～', 'FW')]|[('鴨肉飯', 1)]|['好吃的鴨肉飯～']|0.4
